City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
289,Teguise,ES,29.0605,-13.564,70.02,78,100,20.71,overcast clouds
290,Marigot,MF,18.0667,-63.0833,82.18,69,40,13.8,scattered clouds
291,Urusha,RU,54.05,122.9,75.43,42,4,9.48,clear sky
292,Pontian Kecil,MY,1.4801,103.3899,92.28,69,94,8.52,light rain
293,Asfi,MA,32.2994,-9.2372,70.21,88,23,12.3,few clouds
294,Traverse City,US,44.7631,-85.6206,69.87,64,20,8.05,few clouds
295,Nioro,GM,13.35,-15.75,78.17,87,98,8.79,light rain
296,Sisimiut,GL,66.9395,-53.6735,42.08,91,100,4.07,light rain
297,Tucuman,AR,-26.8241,-65.2226,51.8,87,0,12.66,clear sky
298,Kismayo,SO,-0.3582,42.5454,76.48,67,100,15.9,overcast clouds
299,Nome,US,64.5011,-165.4064,59.16,71,100,8.05,overcast clouds
300,Merauke,ID,-8.4667,140.3333,77.61,83,100,16.75,overcast clouds
301,Lompoc,US,34.6391,-120.4579,70.79,84,100,10.36,overcast clouds
302,San Andres,CO,12.5847,-81.7006,82.42,83,40,9.22,scattered clouds
303,Taksimo,RU,56.3444,114.8794,61.57,85,100,0.83,light rain
304,Naze,JP,28.3667,129.4833,79.72,85,99,16.51,overcast clouds
305,Broome,US,42.2506,-75.833,70.36,93,8,2.93,clear sky
306,Dudinka,RU,69.4058,86.1778,61.63,54,0,7.14,clear sky
307,Dengzhou,CN,37.8086,120.7508,75.94,92,100,10.22,overcast clouds
308,Launceston,AU,-41.45,147.1667,54.61,55,100,8.05,overcast clouds
309,Santa Barbara,US,34.7333,-120.0343,67.82,68,0,8.05,clear sky
310,Pathein,MM,16.7833,94.7333,88.0,66,80,9.91,broken clouds
311,Kemi,FI,65.8596,24.8228,51.57,87,0,6.91,clear sky
312,Avera,US,33.194,-82.5271,82.54,61,100,8.23,overcast clouds
313,Chara,RU,56.9064,118.2631,74.25,44,18,11.88,few clouds
314,Fairhope,US,30.523,-87.9033,84.74,71,40,8.01,scattered clouds
315,Necochea,AR,-38.5473,-58.7368,43.23,90,41,9.8,scattered clouds
316,Ribeira Brava,PT,32.65,-17.0667,75.0,82,11,3.2,few clouds
317,Yumen,CN,40.2833,97.2,87.28,8,42,5.23,scattered clouds
318,Ixtapa,MX,20.7,-105.2,83.43,70,75,4.61,broken clouds
319,Cherskiy,RU,68.75,161.3,63.45,33,72,5.55,broken clouds
320,Tessalit,ML,20.1986,1.0114,87.85,36,100,14.38,overcast clouds
321,Quatre Cocos,MU,-20.2078,57.7625,69.91,73,7,13.2,clear sky
322,Orsha,BY,54.5153,30.4053,52.47,93,4,6.26,clear sky
323,Middlesex,US,42.4998,-71.3328,77.25,86,100,0.0,light rain
324,Labuhan,ID,-6.8844,112.2051,84.42,62,97,7.63,overcast clouds
325,Opuwo,NA,-18.0607,13.84,55.83,42,12,3.33,few clouds
326,Kasongo-Lunda,CD,-6.4667,16.8167,63.73,75,34,1.79,scattered clouds
327,Le Pradet,FR,43.1066,6.0172,75.79,60,0,3.44,clear sky
328,Bozuyuk,TR,39.9078,30.0367,62.89,67,0,1.74,clear sky
329,Ancud,CL,-41.8697,-73.8203,44.22,78,100,4.41,overcast clouds
330,Sterling,US,39.0062,-77.4286,76.75,95,20,5.75,few clouds
331,Perth,AU,-31.9333,115.8333,63.79,87,75,10.36,broken clouds
332,Dolores Hidalgo,MX,21.1561,-100.9308,65.79,88,65,6.73,broken clouds
333,Kruisfontein,ZA,-34.0033,24.7314,57.22,36,0,8.9,clear sky
334,Guipavas,FR,48.4352,-4.3972,60.85,94,0,5.75,mist
335,Yaransk,RU,57.3033,47.8861,63.32,81,3,6.53,clear sky
336,Solnechnyy,RU,50.7214,136.6319,78.3,73,100,5.75,overcast clouds
337,Kavieng,PG,-2.5744,150.7967,84.58,70,62,15.97,broken clouds
338,Faanui,PF,-16.4833,-151.75,79.54,73,4,22.1,clear sky
339,Atambua,ID,-9.1061,124.8925,80.55,47,96,2.59,overcast clouds
340,Steinbach,DE,50.1667,8.5667,66.27,68,75,3.44,light rain
341,Kamenka,RU,51.3223,42.7678,68.58,72,94,5.17,overcast clouds
342,Doka,SD,13.5167,35.7667,70.47,93,100,4.23,overcast clouds
343,Tubuala,PA,9.5167,-79.0333,77.38,86,100,4.32,overcast clouds
344,Tapah,MY,4.2004,101.2598,80.51,81,46,4.47,scattered clouds
345,Maple Creek,CA,49.9168,-109.4848,79.21,37,0,8.01,clear sky
